pH,Moisture (%),Bearing Capacity (kN/m²),Soil Type
5.43,44.06,208.82,Silty
7.88,12.07,332.01,Loamy
7.17,11.9,68.23,Peaty
7.19,22.79,442.7,Loamy
7.38,35.54,137.36,Loamy
8.67,7.97,229.29,Sandy
8.91,44.73,250.05,Clay
8.14,31.95,128.53,Peaty
7.96,39.23,124.17,Peaty
8.5,35.66,174.83,Clay
5.82,44.25,70.53,Clay
6.93,14.81,79.1,Sandy
7.1,17.5,96.42,Sandy
6.01,44.84,87.44,Loamy
5.56,14.19,409.44,Sandy
7.84,37.07,246.39,Clay
8.01,45.56,299.66,Sandy
5.99,45.57,83.91,Sandy
8.11,40.76,192.84,Clay
9.0,32.48,299.02,Sandy
7.31,47.3,377.4,Silty
5.54,19.87,273.93,Sandy
7.32,44.13,145.18,Loamy
5.78,47.1,134.18,Silty
8.31,17.14,326.8,Silty
8.22,11.58,384.06,Clay
4.6,20.97,78.39,Loamy
8.2,47.53,138.69,Loamy
4.59,6.65,144.27,Peaty
5.29,36.4,373.44,Loamy
7.87,32.96,65.07,Peaty
8.13,16.29,201.52,Silty
6.1,24.48,324.22,Peaty
5.3,17.86,58.99,Loamy
8.06,48.32,430.28,Loamy
7.79,28.43,449.4,Silty
6.39,47.44,319.26,Peaty
4.73,33.03,168.79,Clay
5.83,29.41,251.39,Loamy
8.88,30.63,413.76,Loamy
7.16,33.98,364.18,Silty
7.82,18.99,186.39,Peaty
6.8,31.42,72.3,Loamy
6.62,43.04,219.03,Silty
6.2,13.03,397.96,Loamy
4.69,32.58,368.1,Peaty
8.54,41.34,118.5,Loamy
7.13,37.37,150.52,Peaty
4.51,45.94,144.91,Clay
7.39,44.72,294.04,Clay
7.17,19.63,177.76,Silty
5.74,15.1,123.02,Loamy
8.72,14.66,160.8,Sandy
5.72,14.23,232.28,Sandy
4.66,18.05,395.54,Loamy
4.76,48.44,366.04,Silty
6.37,19.02,359.32,Silty
4.86,35.12,54.28,Peaty
8.58,19.12,213.78,Silty
7.53,29.84,252.7,Clay
6.82,45.74,141.15,Sandy
6.17,7.54,137.83,Peaty
5.18,28.77,81.61,Sandy
5.84,27.75,397.74,Peaty
7.55,42.8,419.42,Loamy
7.42,30.59,198.11,Clay
6.36,42.82,170.81,Clay
7.73,29.5,343.75,Peaty
4.68,48.66,261.3,Loamy
8.36,41.67,424.14,Loamy
7.05,29.03,364.82,Sandy
8.45,27.15,234.88,Silty
8.23,15.0,448.89,Silty
7.14,31.89,442.53,Loamy
8.22,36.3,197.07,Silty
8.56,13.24,231.16,Loamy
8.05,49.25,108.53,Silty
7.86,48.64,348.93,Peaty
5.51,48.44,435.42,Loamy
8.42,12.38,437.32,Loamy
4.83,47.47,122.76,Loamy
5.0,23.83,349.27,Peaty
6.51,7.3,381.69,Loamy
6.16,39.31,350.58,Sandy
4.95,48.33,66.39,Peaty
8.89,32.89,260.48,Loamy
5.41,33.17,377.74,Clay
6.66,48.69,118.38,Clay
5.3,48.37,294.28,Clay
5.13,37.97,405.55,Sandy
4.55,27.55,131.44,Peaty
7.98,31.86,421.8,Peaty
5.82,42.76,186.58,Loamy
4.6,23.22,140.49,Clay
4.76,43.64,301.89,Peaty
7.35,15.46,272.63,Silty
5.56,47.41,327.21,Loamy
5.13,12.74,290.33,Clay
7.76,25.56,144.65,Silty
4.6,8.09,384.24,Peaty
5.71,32.76,411.17,Clay
5.71,20.15,231.22,Sandy
5.7,27.68,183.45,Clay
6.24,12.77,239.2,Sandy
8.23,32.76,397.87,Silty
5.48,11.45,352.89,Sandy
6.09,19.96,439.77,Silty
4.94,19.06,240.41,Loamy
7.6,45.17,354.2,Silty
7.96,9.69,179.78,Silty
8.86,12.91,199.56,Clay
5.74,21.53,132.59,Clay
6.81,10.84,246.47,Loamy
5.83,32.02,364.05,Clay
5.83,44.68,416.27,Sandy
8.85,16.3,218.04,Loamy
5.82,26.39,104.35,Sandy
7.63,30.51,95.56,Silty
5.25,27.64,106.3,Loamy
6.86,42.47,445.49,Peaty
6.95,25.41,181.03,Sandy
6.17,24.68,416.92,Sandy
8.99,40.79,184.39,Sandy
5.82,14.88,121.8,Sandy
4.75,25.94,433.09,Peaty
8.03,18.84,413.64,Silty
7.18,25.18,280.85,Silty
6.14,5.45,331.19,Loamy
5.5,41.3,117.42,Clay
6.59,43.93,174.51,Loamy
4.77,35.6,52.23,Silty
8.31,16.31,57.88,Peaty
6.92,49.62,107.38,Loamy
6.19,47.02,88.41,Silty
7.19,46.33,122.7,Loamy
8.91,15.96,247.79,Silty
4.53,33.11,70.0,Sandy
7.2,26.11,212.31,Silty
7.66,27.83,255.57,Loamy
8.22,49.07,74.32,Silty
6.33,39.45,131.35,Peaty
7.23,12.36,57.0,Silty
4.73,47.74,404.81,Peaty
8.68,14.11,331.99,Loamy
8.29,20.71,130.69,Clay
8.89,43.81,425.52,Silty
7.62,47.95,135.76,Loamy
5.66,30.51,400.53,Loamy
4.97,15.38,200.08,Loamy
5.04,7.28,428.83,Silty
6.87,14.98,300.76,Peaty
8.43,34.0,421.38,Silty
7.4,6.27,318.57,Clay
5.55,9.46,332.99,Sandy
7.14,6.67,115.05,Peaty
5.93,48.33,104.25,Silty
6.72,48.11,386.05,Peaty
8.98,28.45,166.32,Loamy
6.95,5.15,309.89,Sandy
8.07,45.24,160.85,Loamy
4.56,29.78,63.3,Silty
6.88,14.42,336.69,Silty
6.32,47.94,338.82,Loamy
8.13,30.33,431.52,Loamy
7.47,5.41,160.21,Sandy
6.97,37.68,320.28,Clay
8.6,34.62,423.63,Sandy
8.37,11.4,400.25,Loamy
5.11,7.94,272.61,Silty
4.62,16.36,429.44,Clay
5.34,6.32,219.68,Sandy
5.76,19.04,362.86,Clay
8.71,27.48,344.42,Sandy
8.57,20.48,446.07,Silty
7.06,21.44,314.06,Silty
8.53,33.57,108.2,Clay
7.86,35.49,302.06,Sandy
6.12,32.95,448.91,Sandy
4.82,25.09,384.38,Sandy
8.29,33.34,150.04,Silty
8.51,35.61,209.89,Loamy
8.89,17.68,229.98,Sandy
8.11,26.84,218.0,Silty
6.13,18.75,413.4,Silty
5.62,23.8,195.67,Loamy
4.8,7.12,78.48,Silty
5.51,13.18,245.92,Clay
8.46,22.51,55.78,Silty
4.54,22.45,173.86,Sandy
5.31,41.3,98.25,Peaty
5.78,19.88,93.02,Sandy
5.83,15.67,307.19,Sandy
5.55,35.68,257.61,Silty
7.31,46.22,282.08,Silty
5.59,36.13,129.31,Loamy
8.44,35.23,121.28,Peaty
8.32,39.13,322.0,Sandy
7.87,8.83,299.26,Clay
6.06,13.89,314.5,Loamy
7.47,48.16,298.19,Peaty
4.85,14.79,345.48,Loamy
5.28,6.15,206.82,Clay
6.98,28.33,75.37,Silty
6.22,48.1,331.99,Peaty
5.02,42.35,121.12,Clay
5.21,31.5,432.25,Sandy
5.82,19.8,141.96,Sandy
8.82,6.99,190.76,Sandy
5.45,18.76,313.59,Sandy
8.51,10.74,171.04,Loamy
5.2,30.07,395.24,Loamy
7.12,24.53,149.61,Loamy
5.42,49.28,390.86,Sandy
5.42,34.81,354.87,Loamy
6.86,9.68,368.0,Loamy
5.46,15.78,146.33,Clay
5.43,29.89,83.84,Clay
8.12,45.76,73.42,Silty
6.76,11.7,360.01,Silty
5.13,27.31,197.83,Sandy
4.77,41.17,402.55,Loamy
8.47,14.2,236.21,Sandy
6.14,32.55,361.37,Sandy
6.94,34.78,61.08,Peaty
6.6,16.2,69.69,Sandy
5.31,37.69,70.63,Peaty
7.81,42.13,64.93,Silty
8.38,24.1,301.04,Clay
4.54,40.29,425.48,Sandy
7.61,31.47,422.88,Clay
7.74,36.73,304.45,Clay
8.73,27.34,168.23,Sandy
5.83,12.96,85.53,Sandy
8.56,18.61,408.18,Peaty
5.19,16.21,380.48,Peaty
5.62,47.49,206.14,Sandy
4.74,33.33,365.86,Peaty
8.69,9.41,439.48,Loamy
8.44,24.76,90.16,Loamy
7.31,33.24,158.65,Sandy
8.02,15.35,265.38,Clay
6.52,42.06,113.32,Sandy
6.0,49.46,441.98,Sandy
7.76,13.1,374.6,Loamy
8.42,44.0,226.22,Clay
4.66,19.29,152.27,Loamy
5.77,33.21,117.85,Silty
4.55,39.21,384.88,Peaty
5.39,16.94,76.97,Loamy
8.37,33.57,361.72,Clay
7.42,5.36,418.26,Clay
8.61,27.68,276.1,Clay
5.15,26.35,127.09,Peaty
7.05,32.74,143.12,Silty
7.66,33.31,371.6,Loamy
8.3,17.06,111.41,Peaty
5.71,40.18,419.37,Clay
7.51,14.87,323.49,Sandy
5.73,35.96,126.75,Clay
7.23,44.07,236.5,Peaty
8.45,35.43,160.67,Sandy
5.12,28.64,344.02,Clay
5.74,20.98,221.46,Sandy
6.87,26.71,62.15,Clay
8.73,44.83,61.5,Silty
8.4,37.0,435.71,Loamy
6.68,41.35,111.45,Peaty
7.02,33.3,105.14,Loamy
6.08,25.42,315.13,Silty
8.96,25.72,292.75,Clay
5.03,6.68,296.84,Silty
6.81,6.18,145.22,Sandy
5.81,25.27,223.39,Clay
6.96,48.04,352.11,Clay
5.71,37.41,162.11,Sandy
7.35,14.12,142.88,Silty
8.92,26.63,334.91,Sandy
6.1,16.4,364.39,Clay
8.2,24.01,293.82,Clay
8.18,48.91,207.75,Sandy
7.15,12.15,200.72,Loamy
6.42,33.55,166.47,Loamy
8.02,42.0,199.53,Peaty
4.88,10.2,196.89,Loamy
6.09,28.53,136.51,Clay
8.76,22.43,430.53,Clay
5.47,34.02,370.21,Peaty
5.62,10.89,166.66,Sandy
8.08,41.34,211.06,Clay
7.68,15.2,311.98,Loamy
5.6,20.77,98.97,Loamy
6.72,43.17,111.45,Silty
8.72,45.68,158.57,Peaty
7.9,21.18,91.59,Peaty
7.02,30.47,434.69,Loamy
7.64,44.06,318.81,Loamy
6.65,20.69,431.05,Sandy
7.26,22.28,231.8,Silty
5.8,49.64,239.32,Silty
8.71,38.41,77.69,Peaty
7.66,29.4,76.61,Clay
5.98,15.7,202.47,Loamy
7.9,44.69,344.16,Sandy
4.89,39.1,426.87,Peaty
5.9,48.75,367.98,Silty
7.85,10.29,62.41,Peaty
5.87,18.31,203.63,Clay
8.51,24.71,83.73,Loamy
8.46,19.31,69.61,Silty
8.27,5.43,77.47,Sandy
6.43,19.69,293.24,Peaty
5.93,24.45,99.69,Peaty
6.12,25.27,306.04,Clay
7.58,13.14,254.89,Silty
7.9,11.02,421.38,Clay
5.77,48.9,175.99,Sandy
6.41,28.77,78.41,Sandy
4.88,27.27,190.57,Peaty
7.37,28.47,352.36,Sandy
7.51,31.27,164.75,Loamy
5.77,39.25,417.12,Loamy
8.33,21.42,167.5,Clay
5.79,9.57,133.24,Peaty
6.28,22.81,216.81,Clay
7.27,6.08,235.23,Silty
5.23,30.41,139.41,Silty
6.61,43.75,175.37,Sandy
8.65,10.72,83.58,Peaty
8.24,47.1,137.1,Sandy
6.66,49.56,144.5,Sandy
6.96,21.69,152.26,Clay
4.97,12.25,354.01,Loamy
8.28,26.98,206.66,Sandy
7.95,44.1,432.25,Clay
7.76,47.34,259.16,Sandy
5.88,49.15,122.22,Sandy
6.27,6.82,241.81,Loamy
6.38,39.98,369.5,Loamy
6.38,49.27,257.25,Silty
5.27,23.21,336.55,Sandy
6.36,32.78,282.3,Loamy
6.14,8.45,220.31,Clay
4.74,16.78,370.94,Clay
5.23,43.04,314.25,Peaty
7.8,22.81,97.3,Silty
5.61,14.65,437.73,Sandy
5.77,6.68,300.63,Clay
5.73,17.86,223.2,Silty
7.43,43.07,287.09,Peaty
8.23,46.62,78.27,Sandy
6.49,6.27,292.93,Silty
6.09,31.83,180.74,Loamy
8.46,12.63,346.86,Clay
6.61,7.63,200.33,Silty
4.62,23.31,320.77,Sandy
7.06,8.05,414.11,Sandy
5.01,46.97,424.44,Peaty
7.8,29.06,209.3,Clay
7.25,43.94,180.45,Sandy
6.19,36.53,308.62,Sandy
5.35,18.12,132.44,Clay
8.63,21.12,197.4,Sandy
7.06,26.06,188.78,Sandy
5.44,42.72,301.53,Clay
4.77,6.77,431.42,Sandy
5.06,49.17,322.62,Clay
8.6,30.81,59.59,Loamy
7.82,29.48,202.09,Peaty
7.04,16.05,260.78,Peaty
6.65,28.65,340.33,Silty
6.93,6.16,174.19,Peaty
6.62,15.77,109.28,Silty
7.0,28.17,313.84,Sandy
8.78,34.59,353.19,Silty
4.68,5.59,149.87,Sandy
6.99,28.87,400.61,Loamy
7.64,46.99,84.74,Loamy
5.45,46.25,149.03,Peaty
6.01,18.97,222.91,Clay
8.5,8.18,241.73,Loamy
6.97,19.01,279.84,Loamy
7.99,47.3,296.63,Loamy
7.05,9.85,191.97,Sandy
6.09,11.58,354.04,Loamy
7.72,28.42,251.87,Clay
5.16,46.49,405.64,Clay
4.66,11.85,142.74,Loamy
7.23,36.96,230.05,Silty
7.23,19.25,381.67,Sandy
7.18,20.15,405.9,Loamy
5.22,48.45,63.92,Sandy
6.72,33.86,199.03,Silty
5.58,20.59,76.01,Silty
7.91,8.15,67.59,Silty
4.94,29.59,120.6,Loamy
5.83,27.2,374.86,Clay
4.65,5.19,299.43,Clay
7.5,40.0,248.35,Loamy
8.88,31.01,120.64,Peaty
7.21,7.76,398.44,Clay
5.99,32.6,56.76,Silty
8.26,23.07,66.71,Silty
8.56,48.79,398.78,Sandy
7.12,38.67,401.6,Loamy
7.41,34.68,124.2,Clay
8.32,20.19,426.51,Peaty
6.85,11.04,140.18,Silty
4.69,37.93,231.43,Clay
6.19,33.71,375.01,Peaty
7.96,18.49,425.36,Peaty
8.68,17.92,57.43,Silty
6.08,49.34,318.31,Sandy
4.79,31.81,339.66,Clay
7.59,34.87,406.62,Silty
6.49,39.96,447.13,Silty
8.73,11.79,383.29,Silty
8.49,46.71,309.53,Sandy
7.67,32.95,138.29,Loamy
7.12,44.92,260.49,Peaty
7.52,22.13,58.7,Loamy
5.76,49.12,329.02,Peaty
6.32,13.95,412.73,Loamy
7.83,22.53,404.25,Silty
5.28,7.3,393.38,Loamy
5.38,47.41,223.75,Silty
6.38,36.87,132.67,Silty
5.47,16.79,116.16,Clay
7.18,34.82,393.02,Peaty
8.13,29.32,380.87,Silty
8.51,8.87,416.83,Loamy
8.1,7.1,156.69,Sandy
8.4,24.79,92.56,Clay
8.44,40.33,285.29,Silty
4.58,15.92,333.51,Clay
7.24,7.64,122.56,Sandy
8.13,20.58,56.21,Clay
6.99,14.3,396.67,Loamy
7.37,42.88,411.21,Silty
8.16,14.75,203.2,Silty
5.12,5.6,136.87,Silty
6.9,45.58,290.33,Sandy
7.97,7.77,437.68,Peaty
5.86,42.57,231.68,Sandy
8.48,46.63,389.23,Clay
6.9,14.39,446.96,Loamy
5.08,6.25,259.93,Loamy
7.21,42.06,386.61,Silty
6.58,42.2,176.92,Peaty
7.66,30.17,344.72,Peaty
8.91,39.99,148.99,Silty
7.57,7.38,294.97,Loamy
5.86,17.23,85.15,Silty
5.6,5.46,432.39,Silty
5.65,7.26,242.19,Clay
8.04,31.71,138.69,Loamy
7.36,31.61,396.81,Peaty
7.26,26.68,195.27,Silty
6.38,35.98,76.9,Peaty
8.47,33.6,257.92,Clay
5.04,23.21,156.52,Peaty
7.32,32.08,301.94,Peaty
5.14,21.1,85.07,Loamy
8.18,32.52,175.32,Clay
4.87,13.63,106.92,Silty
8.63,6.14,364.02,Loamy
8.88,36.1,248.84,Clay
7.31,7.73,136.77,Clay
5.85,20.51,261.73,Loamy
8.1,20.07,74.19,Silty
8.73,11.06,266.76,Peaty
7.69,7.84,207.55,Peaty
6.11,27.26,154.73,Clay
6.62,5.2,210.72,Loamy
5.29,13.09,333.08,Clay
8.69,12.12,170.26,Clay
5.45,37.49,310.69,Silty
6.26,41.57,326.47,Clay
8.2,39.15,392.41,Silty
7.95,47.28,295.29,Silty
7.68,25.73,425.41,Peaty
7.53,42.6,257.45,Sandy
5.78,39.69,212.19,Clay
8.39,24.1,310.96,Silty
8.16,17.61,207.76,Loamy
7.88,14.34,320.8,Peaty
8.51,48.28,95.84,Loamy
6.14,14.68,274.62,Peaty
7.34,13.66,148.09,Loamy
7.46,36.13,436.41,Loamy
6.11,20.72,429.07,Clay
5.57,31.65,117.46,Sandy
8.76,7.19,403.87,Sandy
7.47,24.64,200.61,Loamy
8.92,35.11,302.34,Peaty
6.84,24.85,173.76,Sandy
7.42,41.13,401.19,Clay
4.95,32.58,171.99,Sandy
5.0,8.24,441.52,Loamy
7.89,36.01,415.8,Peaty
4.58,6.82,50.67,Loamy
5.75,5.57,262.41,Sandy
7.89,48.59,271.04,Silty
7.55,41.44,218.13,Loamy
4.84,49.7,335.67,Silty
4.68,36.82,192.06,Silty
7.12,32.81,269.64,Clay
8.42,12.83,197.38,Loamy
7.58,46.8,123.32,Silty
6.47,35.49,294.8,Silty
8.26,21.98,314.07,Peaty
6.75,49.2,131.05,Loamy
6.13,15.71,309.82,Silty
6.8,41.69,193.07,Sandy
8.68,29.22,95.36,Sandy
7.88,23.36,262.62,Peaty
7.26,24.56,392.22,Peaty
8.74,5.99,219.71,Clay
6.84,6.91,259.28,Loamy
5.44,25.14,101.64,Silty
8.59,5.88,420.04,Clay
4.58,19.6,248.41,Clay
8.69,16.86,386.79,Peaty
7.09,15.67,338.06,Loamy
5.76,27.19,289.26,Sandy
5.33,12.14,301.63,Peaty
8.93,26.43,146.51,Peaty
8.59,8.81,448.32,Peaty
5.7,19.74,392.24,Loamy
5.41,19.42,124.81,Clay
8.37,42.09,150.73,Loamy
8.88,35.22,430.71,Silty
7.23,38.42,286.14,Silty
8.4,10.67,95.59,Clay
7.54,25.53,364.23,Loamy
7.63,41.01,255.85,Sandy
6.14,17.05,407.37,Sandy
8.44,28.65,283.33,Silty
5.22,17.43,117.97,Sandy
6.2,48.82,350.53,Sandy
7.73,40.77,393.86,Silty
5.1,30.14,310.59,Sandy
6.02,34.11,217.29,Sandy
5.71,31.65,375.18,Loamy
7.97,28.36,368.14,Clay
6.68,46.95,209.58,Sandy
5.43,42.47,62.43,Clay
8.56,42.44,385.12,Clay
7.67,49.68,283.78,Loamy
5.27,48.72,373.28,Sandy
4.85,43.45,326.53,Clay
7.62,20.72,79.53,Clay
5.97,20.26,219.09,Clay
5.69,37.84,177.25,Silty
5.66,43.8,191.21,Loamy
5.08,46.6,329.33,Peaty
5.5,47.82,372.4,Clay
8.08,14.07,194.09,Clay
7.65,44.66,346.41,Loamy
5.7,27.71,206.28,Sandy
5.6,36.12,56.1,Silty
7.69,27.79,416.91,Clay
5.23,20.29,109.38,Sandy
5.24,43.52,318.07,Clay
6.84,13.47,229.42,Sandy
5.42,35.24,349.01,Clay
7.72,10.5,215.13,Sandy
8.92,27.69,52.88,Sandy
7.03,43.66,331.31,Loamy
6.55,9.1,194.52,Silty
5.85,46.63,445.13,Peaty
5.99,42.38,261.3,Loamy
8.83,11.53,287.67,Silty
8.99,44.9,345.61,Peaty
7.78,46.36,402.01,Sandy
7.61,20.18,187.29,Silty
5.6,40.32,275.81,Loamy
8.88,27.86,303.1,Silty
5.61,24.01,198.38,Loamy
5.0,42.47,254.56,Peaty
4.72,28.23,306.06,Sandy
8.58,27.61,320.5,Silty
7.52,31.62,377.17,Sandy
5.06,21.54,145.01,Loamy
5.66,44.18,338.83,Clay
5.0,47.47,303.96,Clay
6.79,10.08,301.21,Sandy
6.71,39.27,293.52,Loamy
6.25,5.59,52.81,Loamy
7.4,18.47,449.85,Silty
8.46,19.08,343.85,Loamy
6.88,49.16,288.07,Loamy
8.72,28.28,325.12,Loamy
5.8,15.82,236.34,Sandy
5.82,45.19,189.58,Clay
7.69,8.84,213.18,Peaty
6.77,11.77,150.25,Peaty
5.36,27.13,183.97,Silty
8.34,19.58,85.04,Sandy
6.32,39.51,334.1,Silty
5.15,46.28,286.39,Clay
7.71,43.78,333.31,Silty
4.7,5.13,108.42,Silty
8.84,19.81,419.09,Silty
6.77,10.59,172.09,Loamy
4.54,46.85,231.2,Silty
6.95,29.73,116.72,Loamy
7.46,36.69,164.02,Peaty
7.92,23.64,163.77,Sandy
6.79,13.72,254.54,Peaty
5.72,38.14,428.54,Peaty
5.64,8.41,212.73,Peaty
7.98,10.24,387.88,Silty
6.66,5.67,108.39,Clay
5.28,6.72,319.71,Loamy
8.3,22.56,185.35,Loamy
8.64,16.01,253.3,Clay
5.11,6.47,93.49,Peaty
5.91,37.83,123.9,Sandy
5.67,21.77,102.35,Loamy
6.14,40.91,345.01,Loamy
5.4,8.91,127.65,Sandy
8.66,21.31,377.74,Clay
8.48,41.65,327.94,Sandy
5.05,22.69,73.74,Silty
8.15,47.68,98.67,Loamy
4.99,47.24,237.15,Silty
8.66,40.81,409.24,Clay
8.28,16.9,413.04,Clay
7.84,24.91,280.45,Sandy
4.92,24.46,412.6,Peaty
6.09,15.64,199.3,Silty
5.36,46.79,424.48,Sandy
5.29,17.9,434.35,Silty
8.62,18.66,243.86,Silty
7.2,12.89,172.72,Peaty
5.41,31.95,74.55,Sandy
5.09,15.32,146.69,Loamy
4.75,19.52,185.85,Clay
6.55,14.32,365.51,Silty
7.04,23.82,73.92,Sandy
8.17,34.9,155.22,Clay
8.86,29.67,108.12,Clay
5.17,17.23,412.68,Loamy
5.6,12.49,192.25,Peaty
6.76,47.84,266.29,Silty
5.49,7.22,123.43,Peaty
5.22,38.65,312.61,Clay
6.39,28.97,233.45,Peaty
7.07,49.61,301.11,Silty
6.92,27.31,357.35,Sandy
6.46,29.0,69.09,Silty
6.5,32.13,282.14,Sandy
8.59,23.93,50.1,Loamy
7.48,10.46,82.85,Sandy
6.27,7.08,366.13,Sandy
5.43,47.79,85.92,Loamy
6.23,24.3,429.47,Loamy
8.59,12.76,73.52,Clay
5.47,34.73,295.58,Clay
7.13,45.44,189.6,Clay
8.06,47.2,64.54,Silty
8.7,13.16,142.28,Loamy
5.95,31.84,123.61,Silty
6.19,38.93,288.25,Clay
5.15,5.3,275.82,Peaty
8.88,39.6,371.28,Sandy
8.49,17.17,348.61,Peaty
8.02,9.52,194.56,Peaty
5.08,27.51,79.1,Silty
6.56,42.26,60.91,Clay
6.98,33.66,87.16,Peaty
6.31,29.65,378.15,Peaty
7.27,41.62,374.48,Loamy
5.82,22.62,332.63,Peaty
5.26,26.27,253.91,Loamy
5.29,27.14,71.19,Sandy
8.69,22.31,208.31,Silty
5.56,22.44,267.61,Sandy
5.99,22.72,222.89,Sandy
8.07,17.79,342.99,Silty
8.21,35.92,217.4,Loamy
5.62,8.66,167.9,Peaty
5.78,8.59,288.79,Sandy
5.93,7.34,215.3,Silty
7.85,9.83,297.79,Silty
8.2,26.17,222.09,Clay
7.3,43.06,439.19,Sandy
4.53,20.35,50.09,Sandy
7.08,23.67,173.06,Loamy
6.02,39.86,447.55,Clay
6.48,14.66,204.46,Silty
7.21,25.62,280.88,Loamy
6.86,31.8,252.0,Silty
6.51,5.04,291.75,Sandy
7.37,22.11,330.83,Loamy
8.11,27.25,320.4,Loamy
6.45,9.66,399.89,Loamy
6.04,37.27,272.16,Loamy
5.44,24.5,418.95,Sandy
7.74,44.8,234.24,Peaty
4.54,29.9,287.98,Silty
8.54,46.08,221.78,Peaty
8.51,37.5,358.99,Silty
7.35,49.72,303.15,Silty
6.12,42.72,371.47,Sandy
5.39,11.26,231.88,Loamy
4.87,36.16,348.99,Sandy
8.23,25.37,424.99,Silty
8.32,40.97,340.42,Sandy
8.04,39.73,302.38,Clay
8.43,17.98,401.18,Clay
5.2,31.41,298.23,Silty
7.57,6.99,62.95,Loamy
7.66,10.64,386.2,Sandy
6.6,29.84,333.27,Loamy
6.8,26.49,210.64,Silty
8.12,30.59,299.4,Peaty
7.27,24.36,329.59,Loamy
6.03,17.94,103.9,Peaty
7.56,14.24,343.57,Silty
6.05,29.88,63.88,Clay
8.8,9.96,423.68,Peaty
5.38,12.45,181.1,Peaty
7.76,32.33,438.36,Sandy
4.91,41.13,174.83,Loamy
8.71,45.39,145.07,Sandy
8.51,22.36,249.31,Clay
4.57,22.96,237.28,Loamy
8.15,36.05,242.68,Sandy
7.53,33.83,128.45,Loamy
7.05,46.01,331.52,Sandy
6.3,49.11,415.07,Loamy
7.18,15.85,144.89,Sandy
5.38,20.06,129.14,Clay
7.24,32.92,213.03,Sandy
5.49,41.24,286.95,Peaty
8.88,17.7,274.26,Clay
8.22,5.72,88.44,Sandy
5.25,45.19,169.74,Sandy
5.76,10.85,51.12,Silty
4.51,38.23,58.51,Sandy
5.24,7.48,407.4,Loamy
8.44,24.93,296.61,Loamy
8.34,5.04,235.95,Silty
8.38,34.72,278.13,Peaty
7.35,45.03,252.75,Loamy
8.24,20.32,384.95,Clay
4.82,21.94,438.36,Peaty
7.34,42.19,349.31,Silty
5.47,6.66,137.17,Loamy
8.92,49.74,177.58,Clay
5.78,26.35,430.58,Sandy
8.39,44.29,427.12,Silty
5.95,24.88,310.52,Silty
8.13,40.69,153.43,Loamy
5.41,42.02,155.48,Clay
7.42,24.42,289.1,Loamy
6.05,15.1,238.96,Clay
8.49,29.11,431.99,Loamy
9.0,43.17,123.07,Clay
6.62,23.99,385.14,Clay
5.74,18.25,348.52,Loamy
5.55,11.08,274.27,Sandy
7.74,26.02,341.93,Clay
6.16,15.21,263.68,Peaty
5.72,26.31,71.08,Loamy
6.54,13.07,268.18,Clay
6.14,33.34,256.58,Clay
7.16,9.04,308.79,Sandy
5.64,25.73,166.35,Sandy
8.07,17.29,212.59,Clay
4.91,25.66,337.54,Peaty
6.7,21.28,81.46,Sandy
6.24,28.92,348.6,Loamy
5.51,25.05,387.87,Loamy
6.18,18.9,60.43,Loamy
5.8,37.47,307.86,Loamy
8.74,34.65,268.63,Sandy
5.3,26.83,274.87,Sandy
7.04,31.88,334.33,Silty
5.25,48.03,74.54,Sandy
6.63,34.28,155.2,Loamy
5.45,31.65,167.36,Silty
8.02,25.78,339.02,Loamy
5.66,36.25,333.76,Sandy
8.9,41.77,394.75,Clay
6.97,28.16,176.32,Silty
6.38,18.56,52.78,Sandy
7.83,39.39,373.3,Peaty
5.85,19.99,280.2,Loamy
4.6,33.61,239.75,Silty
5.73,39.36,182.11,Sandy
6.3,5.94,205.75,Loamy
8.42,48.17,203.61,Silty
8.67,21.35,175.43,Peaty
6.72,9.01,268.45,Peaty
8.87,10.85,283.28,Loamy
6.21,23.22,337.66,Sandy
5.58,28.93,129.27,Silty
4.62,32.55,197.54,Peaty
7.36,20.52,284.71,Sandy
6.5,15.51,112.7,Silty
5.16,32.53,352.42,Peaty
7.23,19.96,175.67,Clay
7.36,5.23,387.95,Loamy
8.48,38.87,172.12,Loamy
6.79,36.25,76.9,Loamy
6.26,23.51,373.03,Peaty
5.38,44.31,214.23,Loamy
7.89,26.57,279.58,Silty
8.83,20.18,82.64,Peaty
4.58,14.25,426.96,Sandy
7.71,20.02,285.83,Sandy
8.47,10.48,356.73,Silty
7.99,6.26,435.87,Silty
4.67,32.63,425.97,Loamy
4.87,36.4,116.56,Silty
7.72,28.02,258.71,Peaty
5.56,10.51,309.61,Sandy
4.61,37.01,134.29,Clay
7.92,24.77,231.65,Sandy
6.32,44.4,324.99,Silty
7.92,33.69,212.84,Sandy
8.92,34.12,339.78,Clay
6.86,27.81,350.5,Loamy
8.49,41.89,333.54,Loamy
8.84,14.79,97.1,Peaty
6.84,41.3,98.57,Loamy
7.87,28.8,123.86,Sandy
8.31,28.08,50.93,Clay
4.81,26.25,388.88,Clay
6.34,35.29,425.2,Sandy
8.76,7.98,272.64,Silty
6.98,27.21,225.6,Peaty
5.45,35.69,86.44,Silty
5.7,25.09,377.59,Loamy
8.68,49.71,439.96,Loamy
4.73,32.83,238.31,Peaty
7.92,38.66,211.63,Silty
6.69,28.51,335.69,Clay
6.12,19.4,209.21,Clay
